,Date,User,Tweet,Likes,Retweets,Replies
44,2022-04-20 07:56:32,TheBridge_Tech,"¡Qué bonito es nuestro palacio! 😍 Todo un privilegio para alumnos, profes y staff poder disfrutar de este espacio en pleno centro de Madrid. https://t.co/DCPt8lWJ6A",3,0,1
45,2022-04-20 04:57:14,alicesilverpol,"Actualmente acoge las oficinas de The Bridge, una aceleradora de talento digital
📷 @TheBridge_Tech https://t.co/xgWzxnqdOI",8,0,1
46,2022-04-19 19:55:08,jmnavarro,@bertinha84 @TheBridge_Tech 👏🏻👏🏻👏🏻  🙌🏻,1,0,0
47,2022-04-19 15:34:25,TheBridge_Tech,"▶Os presentamos a Jesús, alumni recién graduado del #bootcamp de #digitalmarketingops que tras acabar la carrera se lanzó en busca de una especialización en #MarketingDigital ¡Gracias Jesús por compartir tu experiencia y mucha suerte! 🚀 Más info 👉https://t.co/GtnhQmDsGP https://t.co/4VV7VDyjjP",1,0,0
48,2022-04-18 15:05:12,bertinha84,@AndreaMaganRey @TheBridge_Tech https://t.co/fpGUkYnGX4,1,0,0
49,2022-04-18 14:52:49,AndreaMaganRey,@bertinha84 @TheBridge_Tech A por ello @bertinha84 https://t.co/tz445Lv3mV,1,0,1
50,2022-04-18 13:37:44,bertinha84,@alinnfm @TheBridge_Tech https://t.co/0IWmJ42wab,0,0,0
51,2022-04-18 13:22:37,alinnfm,"@bertinha84 @TheBridge_Tech ¡¡Que emoción!! 🤗
Todo lo bueno del mundo para ti en esta etapa 🏆",1,0,1
52,2022-04-18 08:26:32,TheBridge_Tech,@bertinha84 Ese nudo es presagio de algo bueno 😆¡Bienvenida a @TheBridge_Tech ! Muchas horas de #UXUI te esperan 🙌 ¡sin miedo!,1,0,0
53,2022-04-18 06:50:51,bertinha84,"@marcosDLCS @TheBridge_Tech Lo haré, gracias Marcos 🙂",0,0,0
54,2022-04-18 06:43:57,marcosDLCS,"@bertinha84 @TheBridge_Tech Mucha suerte en la nueva aventura.

¡No olvides compartir tu camino y tus experiencias! 

Seguro que son de utilidad para la comunidad.

💪",1,0,1
55,2022-04-18 06:03:12,bertinha84,Hoy empiezo en un ratito mi camino en el Ux/ui de la mano de @TheBridge_Tech en su bootcamp. Tengo un nudo enorme en el estómago y todas las ganas de aprender. A por todas voy!,6,1,5
